owners,rango
0-20000,0.7543469793296494
20000-50000,0.766473123403686
50000-100000,0.7678830771194223
50000000-100000000,0.7793066809066156
100000-200000,0.7877022380718485
200000-500000,0.794669388374099
500000-1000000,0.8130553466821462
1000000-2000000,0.8279046762633901
10000000-20000000,0.8424812618967376
5000000-10000000,0.8564685958542341
100000000-200000000,0.8587102445738107
2000000-5000000,0.8601581727941221
20000000-50000000,0.9234586627170364
