steamspy_tags,avg(price)
3D,71.32666850090027
Game Development,64.26869584166485
Kickstarter,34.9900016784668
Character Customization,29.097857883998326
Character Action Game,26.190000152587892
Dark Fantasy,25.940000534057617
Animation & Modeling,25.17611113080272
Lara Croft,24.49000072479248
Assassin,23.84454597126354
Realistic,23.304210662841797
