steamspy_tags,percentage
Alternate History,0.9693877551020408
Score Attack,0.96875
Replay Value,0.9684417652600948
America,0.96653604528208
3D,0.9643387815750372
Beautiful,0.9595808383233533
Cartoon,0.9559153966393122
2.5D,0.9518072289156626
Political,0.9512713340299547
1990's,0.9507772020725389
