Genero,avg(Precio)
Action;Adventure;Casual;Indie;Sports,1.0150000303983688
Action;Adventure;Casual;Indie;Sports;Early Access,7.489999890327454
Action;Adventure;Casual;Indie;Sports;Strategy,1.690000057220459
Action;Adventure;Casual;Indie;Strategy,4.010519483646789
Action;Adventure;Casual;Indie;Strategy;Early Access,6.011428513697216
Action;Adventure;Casual;Massively Multiplayer,15.260000546773275
Action;Adventure;Casual;Massively Multiplayer;RPG;Simulation,11.390000343322754
Action;Adventure;Casual;Massively Multiplayer;RPG;Strategy;Early Access,19.489999771118164
Action;Adventure;Casual;RPG,8.635555724302927
Action;Adventure;Casual;RPG;Early Access,5.590000152587891
Action;Adventure;Casual;RPG;Simulation,6.989999771118164
Action;Adventure;Casual;RPG;Strategy,15.489999771118164
Action;Adventure;Casual;Racing,6.064999938011169
Action;Adventure;Casual;Racing;RPG;Early Access,0.0
Action;Adventure;Casual;Racing;RPG;Simulation;Sports;Strategy,1.690000057220459
Action;Adventure;Casual;Racing;RPG;Sports;Strategy,6.989999771118164
Action;Adventure;Casual;Racing;Simulation;Sports,4.190000057220459
Action;Adventure;Casual;Simulation,5.224444415834215
Action;Adventure;Casual;Simulation;Sports;Strategy;Early Access,7.190000057220459
Action;Adventure;Casual;Simulation;Strategy,0.7900000214576721
Action;Adventure;Casual;Sports,7.190000057220459
Action;Adventure;Casual;Sports;Strategy;Early Access,10.989999771118164
Action;Adventure;Casual;Strategy,4.029999959468841
Action;Adventure;Casual;Strategy;Early Access,5.390000104904175
Action;Adventure;Early Access,9.285499969124794
Action;Adventure;Early Access;Indie;Strategy,6.989999771118164
Action;Adventure;Free to Play,0.0
Action;Adventure;Free to Play;Early Access,11.390000343322754
Action;Adventure;Free to Play;Indie,0.0
Action;Adventure;Free to Play;Indie;Early Access,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Early Access,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Strategy;Early Access,0.0
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Strategy;Early Access,1.9950000047683716
Action;Adventure;Free to Play;Indie;RPG,0.0
Action;Adventure;Free to Play;Indie;RPG;Early Access,0.0
Action;Adventure;Free to Play;Indie;RPG;Simulation;Early Access,0.0
Action;Adventure;Free to Play;Indie;RPG;Strategy,0.0
Action;Adventure;Free to Play;Indie;Simulation,0.0
Action;Adventure;Free to Play;Indie;Simulation;Strategy,0.0
Action;Adventure;Free to Play;Indie;Strategy,0.0
Action;Adventure;Free to Play;Indie;Strategy;Early Access,0.0
Action;Adventure;Free to Play;Massively Multiplayer,0.0
Action;Adventure;Free to Play;Massively Multiplayer;RPG,0.0
Action;Adventure;Free to Play;Massively Multiplayer;RPG;Strategy,0.0
Action;Adventure;Free to Play;RPG,0.0
Action;Adventure;Free to Play;RPG;Early Access,0.0
Action;Adventure;Free to Play;RPG;Simulation,0.0
Action;Adventure;Free to Play;RPG;Simulation;Early Access,0.0
Action;Adventure;Free to Play;RPG;Strategy;Early Access,0.0
Action;Adventure;Free to Play;Racing;Sports;Early Access,6.989999771118164
Action;Adventure;Free to Play;Simulation,0.0
Action;Adventure;Free to Play;Simulation;Sports,0.0
Action;Adventure;Indie,5.856615990274566
