owners,avg(average_playtime)
0-20000,12.418660930357623
20000-50000,174.3370382477934
50000-100000,372.2088495575221
100000-200000,422.7090252707581
200000-500000,553.2672955974842
500000-1000000,852.3567251461989
1000000-2000000,1307.3090277777778
2000000-5000000,1380.782383419689
5000000-10000000,2677.5434782608695
10000000-20000000,3869.095238095238
20000000-50000000,5862.666666666667
50000000-100000000,22716.0
100000000-200000000,23944.0
