owners,rango
20000000-50000000,0.0828855046502685
2000000-5000000,0.1625768743806948
100000000-200000000,0.1645371722522226
5000000-10000000,0.16758513369962966
10000000-20000000,0.1869700196638551
1000000-2000000,0.20786852480811377
500000-1000000,0.2299285701529706
200000-500000,0.25838495181752164
100000-200000,0.2695152453137847
50000000-100000000,0.2831918736236654
50000-100000,0.30228159702558294
20000-50000,0.3046771888873133
0-20000,0.3256499030308971
