steamspy_tags,avg(average_playtime)
Realistic,3963.157894736842
Software,3238.1875
MMORPG,2626.4193548387098
Resource Management,2155.4
MOBA,2120.4615384615386
Military,2095.4210526315787
Dark Fantasy,1867.1666666666667
Retro,1833.0
Level Editor,1619.6666666666667
Programming,1615.3846153846155
