name,avg_total_playtime
South Park: The Stick of Truth,3.6575E9
Torchlight II,3.6295E9
Friday the 13th: The Game,3.61725E9
Mad Max,3.605E9
Mafia II,3.6015E9
DARK SOULS II,3.5655E9
Men of War: Assault Squad 2,3.5085E9
NBA 2K17,3.504E9
Call of Duty: World at War,3.4965E9
Awesomenauts - the 2D moba,3.4965E9
STAR WARS Knights of the Old Republic II - The Sith Lords,3.465E9
WAKFU,3.387E9
X-COM: UFO Defense,3.3525E9
Metin2,3.3375E9
Defiance,3.3355E9
FOR HONOR,3.3285E9
Panzar,3.327E9
Conan Exiles,3.32325E9
Farming Simulator 17,3.28275E9
TEKKEN 7,3.27525E9
S.K.I.L.L. - Special Force 2 (Shooter),3.269E9
Total War: ATTILA,3.2205E9
ArcheAge,3.1605E9
Kingdom Come: Deliverance,3.159E9
TrackMania Nations Forever,3.157E9
Age of Empires III: Complete Collection,3.157E9
American Truck Simulator,3.129E9
The Lord of the Rings Online,3.122E9
Life is Strange - Episode 1,3.09E9
LEGO Marvel Super Heroes,3.0255E9
Crossout,3.024E9
No Man's Sky,3.006E9
Dungeon Defenders,2.9895E9
Tom Clancy's Ghost Recon Wildlands,2.9805E9
S.T.A.L.K.E.R.: Call of Pripyat,2.9535E9
The Witcher 2: Assassins of Kings Enhanced Edition,2.933E9
Day of Infamy,2.9265E9
Far Cry 3,2.926E9
Spintires: The Original Game,2.883E9
Rise of the Tomb Raider,2.8595E9
XCOM 2,2.8365E9
Grand Theft Auto: San Andreas,2.8245E9
Infestation: The New Z,2.82E9
Riders of Icarus,2.7885E9
Supreme Commander 2,2.751E9
BattleBlock Theater,2.709E9
Half-Life: Blue Shift,2.7075E9
Call of Duty: Infinite Warfare,2.70675E9
The Witcher: Enhanced Edition Director's Cut,2.7055E9
The Price of Freedom,2.702175E9
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2.6985E9
Artifact,2.6955E9
Half-Life 2: Episode Two,2.655E9
Outlast,2.6285E9
DOOM,2.6285E9
Shakes and Fidget,2.628E9
Dishonored,2.6215E9
Titan Quest Anniversary Edition,2.5865E9
Ring of Elysium,2.576E9
Pillars of Eternity,2.565E9
Deep Rock Galactic,2.5125E9
Catan Universe,2.5065E9
"Warhammer 40,000: Space Marine",2.492E9
Insurgency,2.492E9
Tales of Maj'Eyal,2.49095E9
RACE 07,2.454E9
Enter the Gungeon,2.4375E9
Resident Evil 6 / Biohazard 6,2.403E9
Middle-earth: Shadow of War,2.3805E9
Squad,2.37975E9
Undertale,2.3765E9
"Papers, Please",2.359E9
Divinity: Original Sin - Enhanced Edition,2.3385E9
Heroes of Might & Magic V: Tribes of the East,2.33765E9
Assetto Corsa,2.33025E9
STAR WARS - Knights of the Old Republic,2.31E9
Hitman: Absolution,2.275E9
Besiege,2.254E9
ArcheBlade,2.24E9
SoulWorker - Anime Action MMO,2.238E9
CPUCores :: Maximize Your FPS,2.2267E9
-1v5(Notes of Soul),2.2162E9
"Warhammer 40,000: Dawn of War II",2.198E9
Risk of Rain 2,2.1825E9
"Star Wars: Battlefront 2 (Classic, 2005)",2.163E9
"Warhammer 40,000: Dawn of War - Soulstorm",2.1495E9
BRAIN / OUT,2.1495E9
BioShock Infinite,2.149E9
Call of Duty 4: Modern Warfare,2.1255E9
Half-Life 2: Episode One,2.1075E9
Team Fortress Classic,2.0775E9
Magicka,2.0615E9
Tap Tap Infinity,2.06115E9
HuniePop,2.05575E9
Darkstone,2.053125E9
Crush Crush,2.05125E9
Stick Fight: The Game,2.044E9
Dragon's Dogma: Dark Arisen,2.0325E9
Batman: Arkham Asylum Game of the Year Edition,1.9915E9
Slime Rancher,1.971E9
The Elder Scrolls IV: Oblivion Game of the Year Edition,1.9605E9
Bless Online,1.9593E9
Deathmatch Classic,1.935E9
Victoria II,1.935E9
Boundless,1.93214E9
DRAGON BALL XENOVERSE,1.93125E9
Hollow Knight,1.929E9
Risen 2: Dark Waters,1.917E9
Call to Arms,1.9125E9
MapleStory 2,1.9095E9
Startup Company,1.9047E9
Batman: Arkham Knight,1.899E9
SCUM,1.896E9
Divinity II: Developer's Cut,1.88325E9
Batman: Arkham Origins,1.883E9
STAR WARS Jedi Knight - Jedi Academy,1.881E9
Call of Duty: Black Ops II,1.834E9
Dungeon Defenders II,1.8305E9
ShellShock Live,1.827E9
Solarix,1.82595E9
ASTRONEER,1.8195E9
Just Cause 2,1.8165E9
Banished,1.8135E9
Tropico 4,1.813E9
Warhammer: End Times - Vermintide,1.8E9
This War of Mine,1.792E9
Rise of Nations: Extended Edition,1.78425E9
Grand Theft Auto: Episodes from Liberty City,1.778E9
Sins of a Solar Empire: Rebellion,1.7745E9
Scrap Mechanic,1.76625E9
BLOCKADE 3D,1.7465E9
Psychonauts,1.7185E9
The Elder Scrolls III: Morrowind Game of the Year Edition,1.7025E9
Aura Kingdom,1.6975E9
Dishonored 2,1.6755E9
Torchlight,1.662E9
Endless Space - Collection,1.653E9
Faeria,1.65075E9
Total War: MEDIEVAL II  Definitive Edition,1.6415E9
Deceit,1.6415E9
Mass Effect 2,1.6305E9
Frostpunk,1.626E9
Brutal Legend,1.6135E9
FINAL FANTASY VIII,1.60875E9
Planet Coaster,1.6035E9
Far Cry 4,1.593E9
Oxygen Not Included,1.58625E9
Sakura Clicker,1.5825E9
Town of Salem,1.57575E9
GunZ 2: The Second Duel,1.575E9
My Time At Portia,1.5705E9
Assassin's Creed 2 Deluxe Edition,1.569E9
Endless Legend,1.5675E9
PAYDAY The Heist,1.554E9
Dragon Age: Origins,1.54575E9
Mortal Kombat X,1.545E9
Shonen Idle Z,1.53705E9
BeamNG.drive,1.5285E9
Metro 2033 Redux,1.519E9
NieR:Automata,1.5165E9
Dead Cells,1.509E9
Fantasy Grounds,1.50759E9
Orcs Must Die! 2,1.5015E9
Motorsport Manager,1.50115E9
Tomb Raider VI: The Angel of Darkness,1.49625E9
Darksiders II Deathinitive Edition,1.488E9
Microsoft Flight Simulator X: Steam Edition,1.4865E9
Hunt Showdown,1.4865E9
Trine 2: Complete Story,1.4735E9
Rising Storm 2: Vietnam,1.45875E9
ELEX,1.449E9
A Story About My Uncle,1.4475E9
SPORE Galactic Adventures,1.42875E9
Farming Simulator 15,1.4265E9
Sven Co-op,1.4245E9
Deus Ex: Human Revolution - Director's Cut,1.4205E9
Risk of Rain,1.419E9
Day of Defeat,1.4025E9
Far Cry 5,1.40175E9
Sid Meier's Civilization: Beyond Earth,1.398E9
Heroes of Might & Magic III - HD Edition,1.3905E9
Governor of Poker 3,1.386E9
Soul at Stake,1.3853E9
Devil May Cry 5,1.374E9
Bastion,1.3685E9
Screeps,1.358175E9
Oddworld: Abe's Oddysee,1.3545E9
Football Manager 2019,1.35275E9
Rome: Total War - Collection,1.3455E9
Hotline Miami,1.33E9
Serious Sam 3: BFE,1.323E9
The Legend of Heroes: Trails in the Sky,1.31425E9
Ricochet,1.3125E9
Resident Evil 5/ Biohazard 5,1.302E9
Alien Swarm,1.2985E9
Yu-Gi-Oh! Duel Links,1.296E9
They Are Billions,1.284E9
Wargame: Red Dragon,1.2765E9
Metro: Last Light Redux,1.2705E9
Assassin's Creed Unity,1.2645E9
RESIDENT EVIL 2 / BIOHAZARD RE:2,1.2615E9
Realm Royale,1.26E9
Unity of Command: Stalingrad Campaign,1.2552E9
Dungeon Fighter Online,1.25025E9
The Escapists,1.239E9
BATTLETECH,1.23075E9
Reign Of Kings,1.2243E9
Life is Feudal: Your Own,1.22395E9
theHunter Classic,1.2225E9
MechWarrior Online Solaris 7,1.218E9
Human: Fall Flat,1.218E9
Block N Load,1.2145E9
Game Dev Tycoon,1.2105E9
Nioh: Complete Edition /  Complete Edition,1.2096E9
Supreme Commander: Forged Alliance,1.2045E9
Hero Siege,1.2045E9
OMSI 2: Steam Edition,1.19985E9
Deus Ex: Mankind Divided,1.197E9
Elsword,1.194E9
World of Warships,1.1935E9
Depth,1.1865E9
Shop Heroes,1.15725E9
Rogue Legacy,1.1535E9
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,1.1505E9
The Long Dark,1.14E9
Arma 2,1.128E9
Saints Row 2,1.127E9
FINAL FANTASY XIII,1.12275E9
Transformice,1.12E9
DRAGON BALL XENOVERSE 2,1.1179E9
Shadow Warrior,1.1165E9
Company of Heroes,1.10625E9
TerraTech,1.099E9
Tabletop Simulator,1.0935E9
Mount & Blade: With Fire & Sword,1.0845E9
Tales of Zestiria,1.08375E9
Goat Simulator,1.0815E9
Black Mesa,1.0725E9
Insurgency: Sandstorm,1.06875E9
F1 2015,1.0675E9
DRAGON BALL FighterZ,1.057E9
theHunter: Call of the Wild,1.05675E9
Gothic 3,1.05075E9
Bit Heroes,1.04685E9
Youtubers Life,1.0455E9
Infested Planet,1.0409E9
StarMade,1.03495E9
Dead Space,1.0325E9
Dragon Age: Origins - Ultimate Edition,1.029E9
(GuJian),1.0283E9
Spec Ops: The Line,1.0255E9
Sanctum 2,1.0255E9
Gang Beasts,1.0215E9
