owners,avg(price)
100000000-200000000,0.0
20000000-50000000,0.0
10000000-20000000,4.941904737835839
0-20000,5.6044753785093615
20000-50000,6.238986554450559
50000-100000,6.309952752674575
100000-200000,7.194592025908322
200000-500000,7.250746810726775
500000-1000000,10.118265070761854
2000000-5000000,10.64937820860759
5000000-10000000,10.74956526963607
1000000-2000000,12.158819426058066
50000000-100000000,13.494999885559082
